AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
4U;7042;HAM;319;72;02.02.2016 16:45;1;02.02.2016 16:35;02.02.2016 16:38;10;11;1;J;150;02.02.2016 16:45;02.02.2016 16:46;7;7;0;
LH;2149;MUC;E95;84;02.02.2016 16:50;1;02.02.2016 17:56;02.02.2016 17:40;11;;0;J;120;;;;;;
4U;8005;TXL;320;86;02.02.2016 16:50;1;02.02.2016 16:58;02.02.2016 16:48;12;;0;J;174;;;;;;
AB;6842;DUS;DH4;57;02.02.2016 16:55;1;02.02.2016 16:41;02.02.2016 16:44;61D;30;1;J;76;02.02.2016 16:54;02.02.2016 16:55;11;12;1;
4U;2464;LHR;319;40;02.02.2016 17:05;0;02.02.2016 17:09;02.02.2016 16:58;19;;0;J;144;;;;;;
SK;1655;CPH;CR9;32;02.02.2016 17:15;1;02.02.2016 17:08;02.02.2016 17:12;41;31;1;J;88;02.02.2016 17:18;02.02.2016 17:19;6;7;1;
4U;7043;HAM;319;87;02.02.2016 17:20;1;02.02.2016 17:24;02.02.2016 17:18;10;;0;J;150;;;;;;
4U;2180;AMS;319;68;02.02.2016 17:30;1;02.02.2016 17:31;02.02.2016 17:24;46;;0;J;144;;;;;;
AB;6845;DUS;DH4;70;02.02.2016 17:35;1;02.02.2016 17:37;02.02.2016 17:30;61D;;0;J;76;;;;;;
LH;132;FRA;320;87;02.02.2016 17:40;1;02.02.2016 17:45;02.02.2016 17:49;11;11;1;J;168;02.02.2016 18:13;02.02.2016 18:15;24;25;1;Verzögerung bei der Ausladung
SK;1656;CPH;CR9;47;02.02.2016 17:45;1;02.02.2016 17:50;02.02.2016 17:41;41;;0;J;88;;;;;;
KL;1875;AMS;E90;68;02.02.2016 17:45;1;02.02.2016 17:34;02.02.2016 17:38;40;30;1;J;100;02.02.2016 17:50;02.02.2016 17:52;12;15;3;
4U;2755;VIE;320;140;02.02.2016 17:50;1;02.02.2016 17:36;02.02.2016 17:40;10;10;1;J;174;02.02.2016 17:56;02.02.2016 18:03;16;23;7;
TK;1705;IST;320;76;02.02.2016 17:55;0;02.02.2016 18:12;02.02.2016 18:20;9;10;1;J;162;02.02.2016 18:27;02.02.2016 18:34;8;14;6;
4U;2784;BUD;319;98;02.02.2016 17:55;1;02.02.2016 17:59;02.02.2016 17:48;60;;0;J;144;;;;;;
4U;2018;SXF;319;87;02.02.2016 18:00;1;02.02.2016 18:32;02.02.2016 18:25;45;;0;J;144;;;;;;
EW;4997;BRU;CR9;30;02.02.2016 18:00;1;02.02.2016 17:48;02.02.2016 17:52;54;40;1;J;90;02.02.2016 18:00;02.02.2016 18:01;9;10;1;
4U;2073;LEJ;319;50;02.02.2016 18:05;1;02.02.2016 17:42;02.02.2016 17:46;53;31;1;J;144;02.02.2016 17:53;02.02.2016 17:53;7;7;0;
AB;6613;HAJ;DH4;;02.02.2016 18:05;1;;;CL;;1;J;76;;;;;;
4U;2033;BRE;319;105;02.02.2016 18:10;1;02.02.2016 17:57;02.02.2016 18:02;52;32;1;J;144;02.02.2016 18:08;02.02.2016 18:10;6;8;2;
4U;2051;HAJ;319;76;02.02.2016 18:10;1;02.02.2016 18:02;02.02.2016 18:04;50;11;1;J;150;02.02.2016 18:19;02.02.2016 18:20;14;16;2;
AF;1808;CDG;E90;48;02.02.2016 18:15;1;02.02.2016 17:54;02.02.2016 17:59;14*;41;1;J;100;02.02.2016 18:08;02.02.2016 18:10;9;11;2;
LX;1174;ZRH;DH4;55;02.02.2016 18:15;1;02.02.2016 18:15;02.02.2016 18:19;63D;31;1;J;76;02.02.2016 18:29;02.02.2016 18:31;10;13;3;
4U;2005;TXL;319;93;02.02.2016 18:15;1;02.02.2016 18:07;02.02.2016 18:10;51;11;1;J;144;02.02.2016 18:19;02.02.2016 18:20;9;11;2;
AB;6662;HAM;321;199;02.02.2016 18:20;1;02.02.2016 18:30;02.02.2016 18:19;35;;0;J;210;;;;;;
KL;1876;AMS;E90;68;02.02.2016 18:20;1;02.02.2016 18:46;02.02.2016 18:38;40;;0;J;100;;;;;;
AB;6553;TXL;73H;92;02.02.2016 18:20;1;02.02.2016 18:16;02.02.2016 18:20;41;30;1;J;186;02.02.2016 18:28;02.02.2016 18:31;8;11;3;
4U;2041;HAM;319;79;02.02.2016 18:25;1;02.02.2016 18:10;02.02.2016 18:12;46;11;1;J;150;02.02.2016 18:19;02.02.2016 18:20;7;8;1;
EW;4998;BRU;CR9;54;02.02.2016 18:35;1;02.02.2016 18:40;02.02.2016 18:33;54;;0;J;90;;;;;;
4U;2027;DRS;319;61;02.02.2016 18:40;1;02.02.2016 18:22;02.02.2016 18:24;55;10;1;J;144;02.02.2016 18:32;02.02.2016 18:33;8;9;1;
4U;2034;BRE;319;94;02.02.2016 18:40;1;02.02.2016 18:43;02.02.2016 18:34;53;;0;J;144;;;;;;
4U;2042;HAM;320;79;02.02.2016 18:40;1;02.02.2016 18:50;02.02.2016 18:31;10;;0;J;174;;;;;;
BA;920;LHR;321;66;02.02.2016 18:40;0;02.02.2016 18:25;02.02.2016 18:29;15;32;1;J;205;02.02.2016 18:38;02.02.2016 18:40;9;11;2;
OS;187;VIE;320;84;02.02.2016 18:45;1;02.02.2016 18:35;02.02.2016 18:40;12;10;1;J;168;02.02.2016 18:47;02.02.2016 18:50;8;10;2;
AB;6844;DUS;DH4;65;02.02.2016 18:45;1;02.02.2016 18:45;02.02.2016 18:50;61D;31;1;J;76;02.02.2016 18:59;02.02.2016 19:00;9;10;1;
4U;2822;MXP;319;88;02.02.2016 18:45;1;02.02.2016 18:53;02.02.2016 18:42;52;;0;J;144;;;;;;
IS;505;FMO;J32;3;02.02.2016 18:50;1;02.02.2016 18:37;02.02.2016 18:39;54;11;1;J;19;02.02.2016 18:43;02.02.2016 18:43;4;4;0;
AF;1809;CDG;E90;81;02.02.2016 18:55;1;02.02.2016 18:57;02.02.2016 18:46;14;;0;J;100;;;;;;
TK;1706;IST;320;142;02.02.2016 18:55;0;02.02.2016 19:35;02.02.2016 19:16;9;;0;J;162;;;;;;
4U;2756;VIE;319;87;02.02.2016 19:00;1;02.02.2016 19:17;02.02.2016 19:11;51;;0;J;144;;;;;;
4U;3017;HAJ;319;95;02.02.2016 19:05;1;02.02.2016 19:09;02.02.2016 19:00;46;;0;J;150;;;;;;
AB;6556;TXL;73H;179;02.02.2016 19:05;1;02.02.2016 19:10;02.02.2016 19:03;41;;0;J;186;;;;;;
LH;137;FRA;320;99;02.02.2016 19:10;1;02.02.2016 19:20;02.02.2016 19:10;11;;0;J;168;;;;;;
4U;2378;STN;319;65;02.02.2016 19:15;0;02.02.2016 19:24;02.02.2016 19:19;55;;0;J;144;;;;;;
TJT;47;LYS;BEH;16;02.02.2016 19:20;1;02.02.2016 19:04;02.02.2016 19:09;52;40;1;J;19;02.02.2016 19:13;02.02.2016 19:14;5;5;0;
IS;506;FMO;J32;9;02.02.2016 19:20;1;02.02.2016 19:29;02.02.2016 19:21;54;;0;J;19;;;;;;
AB;6847;DUS;DH4;69;02.02.2016 19:20;1;02.02.2016 19:33;02.02.2016 19:23;61D;;0;J;76;;;;;;
OS;188;VIE;320;44;02.02.2016 19:25;1;02.02.2016 19:32;02.02.2016 19:17;12;;0;J;168;;;;;;
LX;1175;ZRH;DH4;30;02.02.2016 19:25;1;02.02.2016 19:27;02.02.2016 19:19;63D;;0;J;76;;;;;;
BE;7127;BHX;E75;69;02.02.2016 19:30;0;02.02.2016 19:07;02.02.2016 19:11;46;10;1;J;88;02.02.2016 19:23;02.02.2016 19:23;12;13;1;
DE;1453;ACE FUE;320;173;02.02.2016 19:30;1;02.02.2016 18:48;02.02.2016 18:51;35;31;1;J;180;02.02.2016 19:05;02.02.2016 19:15;15;25;10;
BA;919;LHR;321;55;02.02.2016 19:35;0;02.02.2016 19:37;02.02.2016 19:21;15;;0;J;205;;;;;;
AB;6663;HAM;73W;;02.02.2016 19:35;1;;;CL;;1;J;144;;;;;;
LH;2150;MUC;E95;44;02.02.2016 19:40;1;02.02.2016 19:30;02.02.2016 19:34;41;11;1;J;120;02.02.2016 19:45;02.02.2016 19:46;11;12;1;
JU;344;BEG;319;47;02.02.2016 19:45;0;02.02.2016 19:51;02.02.2016 19:55;16;32;1;J;128;02.02.2016 20:06;02.02.2016 20:08;10;12;2;
TJT;48;LYS;BEH;16;02.02.2016 19:50;1;02.02.2016 19:52;02.02.2016 19:46;52;;0;J;19;;;;;;
OS;245;GRZ;DH4;33;02.02.2016 19:50;1;02.02.2016 19:41;02.02.2016 19:47;62D;30;1;J;76;02.02.2016 19:57;02.02.2016 19:58;11;11;0;
4U;8006;TXL;320;102;02.02.2016 19:55;1;02.02.2016 19:44;02.02.2016 19:48;10;11;1;J;174;02.02.2016 19:55;02.02.2016 19:55;7;8;1;
AB;6557;TXL;73W;144;02.02.2016 20:00;1;02.02.2016 19:54;02.02.2016 19:56;14;30;1;J;144;02.02.2016 20:04;02.02.2016 20:06;8;10;2;
EZY;8525;LGW;319;40;02.02.2016 20:00;0;02.02.2016 19:26;02.02.2016 19:31;24;32;1;J;156;02.02.2016 19:41;02.02.2016 19:42;11;11;0;
BE;7128;BHX;E75;69;02.02.2016 20:10;0;02.02.2016 20:18;02.02.2016 20:10;46;;0;J;88;;;;;;
LH;2151;MUC;E95;53;02.02.2016 20:15;1;02.02.2016 20:13;02.02.2016 20:08;41;;0;J;120;;;;;;
AB;6664;HAM;73W;100;02.02.2016 20:15;1;02.02.2016 20:37;02.02.2016 20:27;14;;0;J;144;;;;;;
OS;246;GRZ;DH4;54;02.02.2016 20:25;1;02.02.2016 20:29;02.02.2016 20:21;62D;;0;J;76;;;;;;
AB;6846;DUS;DH4;48;02.02.2016 20:25;1;02.02.2016 21:55;02.02.2016 21:59;61D;30;1;J;76;02.02.2016 22:07;02.02.2016 22:09;9;11;2;
4U;8007;TXL;320;96;02.02.2016 20:30;1;02.02.2016 20:34;02.02.2016 20:21;10;;0;J;174;;;;;;
EZY;8526;LGW;319;58;02.02.2016 20:30;0;02.02.2016 20:24;02.02.2016 20:14;24;;0;J;156;;;;;;
JU;345;BEG;319;42;02.02.2016 20:40;0;02.02.2016 20:48;02.02.2016 20:36;16;;0;J;128;;;;;;
4U;2181;AMS;319;58;02.02.2016 20:50;1;02.02.2016 20:31;02.02.2016 20:34;19;10;1;J;144;02.02.2016 20:43;02.02.2016 20:44;9;9;0;
4U;2019;SXF;319;86;02.02.2016 21:05;1;02.02.2016 20:56;02.02.2016 21:00;29;11;1;J;144;02.02.2016 21:06;02.02.2016 21:07;7;8;1;
4U;2465;LHR;319;66;02.02.2016 21:10;0;02.02.2016 20:53;02.02.2016 20:57;40;32;1;J;144;02.02.2016 21:05;02.02.2016 21:05;8;9;1;
AF;1608;CDG;E90;66;02.02.2016 21:15;1;02.02.2016 20:58;02.02.2016 21:00;14*;40;1;J;100;02.02.2016 21:08;02.02.2016 21:09;8;9;1;
EW;4999;BRU;CR9;59;02.02.2016 21:20;1;02.02.2016 21:08;02.02.2016 21:12;64D;41;1;J;90;02.02.2016 21:28;02.02.2016 21:28;16;16;0;
4U;2823;MXP;319;34;02.02.2016 21:20;1;02.02.2016 21:04;02.02.2016 21:08;12;10;1;J;144;02.02.2016 21:12;02.02.2016 21:13;4;5;1;
4U;2035;BRE;319;45;02.02.2016 21:25;1;02.02.2016 21:00;02.02.2016 21:03;45;10;1;J;144;02.02.2016 21:11;02.02.2016 21:12;8;9;1;
4U;2785;BUD;319;78;02.02.2016 21:25;1;02.02.2016 21:17;02.02.2016 21:21;10;11;1;J;144;02.02.2016 21:27;02.02.2016 21:28;5;7;2;
AB;6665;HAM;321;186;02.02.2016 21:35;1;02.02.2016 21:40;02.02.2016 21:43;31;32;1;J;210;02.02.2016 21:52;02.02.2016 21:55;9;12;3;
4U;3016;HAJ;319;103;02.02.2016 21:35;1;02.02.2016 21:24;02.02.2016 21:27;60;11;1;J;150;02.02.2016 21:37;02.02.2016 21:37;9;10;1;
4U;2043;HAM;320;70;02.02.2016 21:45;1;02.02.2016 21:37;02.02.2016 21:40;51;11;1;J;174;02.02.2016 21:46;02.02.2016 21:47;6;7;1;
OS;179;VIE;319;24;02.02.2016 21:45;1;02.02.2016 21:39;02.02.2016 21:43;46;31;1;J;138;02.02.2016 21:50;02.02.2016 21:52;7;9;2;
XG;1761;ASR;73H;168;02.02.2016 22:00;0;02.02.2016 22:13;02.02.2016 22:00;33;;0;J;189;;;;;;
BCS;4299;LEJ;ABY;0;02.02.2016 22:10;1;02.02.2016 22:17;02.02.2016 22:00;105;;0;F;0;;;;;;
SK;667;CPH;CR9;42;02.02.2016 22:15;1;02.02.2016 22:04;02.02.2016 22:08;56;30;1;J;88;02.02.2016 22:15;02.02.2016 22:17;7;10;3;
4U;2757;VIE;319;90;02.02.2016 22:15;1;02.02.2016 21:51;02.02.2016 21:55;41;10;1;J;144;02.02.2016 22:03;02.02.2016 22:05;8;9;1;
LH;136;FRA;733;79;02.02.2016 22:25;1;02.02.2016 22:40;02.02.2016 22:43;11;11;1;J;139;02.02.2016 22:50;02.02.2016 22:52;7;8;1;
KL;1879;AMS;E90;62;02.02.2016 22:25;1;02.02.2016 22:38;02.02.2016 22:41;15;31;1;J;100;02.02.2016 22:49;02.02.2016 22:49;7;8;1;
AB;7689;PMI;320;77;02.02.2016 22:45;1;02.02.2016 22:15;02.02.2016 22:17;16;31;1;J;180;02.02.2016 22:27;02.02.2016 22:30;9;12;3;
AB;6563;TXL;DH4;51;02.02.2016 22:50;1;02.02.2016 23:08;02.02.2016 23:13;62D;30;1;J;76;02.02.2016 23:22;02.02.2016 23:23;8;10;2;
4U;2379;STN;319;57;02.02.2016 22:50;0;02.02.2016 22:45;02.02.2016 22:47;29;32;1;J;144;02.02.2016 22:54;02.02.2016 22:55;7;8;1;
FX;7011;CDG;AT7;0;02.02.2016 22:50;1;02.02.2016 22:51;02.02.2016 22:45;203;;0;F;0;;;;;;
X3;950;HAJ;73H;0;03.02.2016 00:00;1;03.02.2016 00:19;03.02.2016 00:08;17;;0;M;0;;;;;;
4U;3002;TXL;319;0;03.02.2016 00:15;1;03.02.2016 00:30;03.02.2016 00:17;19;;0;M;0;;;;;;
X3;949;HAJ;73H;0;03.02.2016 01:05;1;03.02.2016 00:58;03.02.2016 01:01;17;;1;M;0;;;;;;
4U;3001;TXL;319;0;03.02.2016 01:30;1;03.02.2016 01:07;03.02.2016 01:11;19;;1;M;0;;;;;;
FX;8014;CDG;AT4;0;03.02.2016 05:30;1;03.02.2016 05:38;03.02.2016 05:42;203;;1;F;0;;;;;;
X3;2168;LPA;73H;189;03.02.2016 05:50;1;03.02.2016 06:10;03.02.2016 05:57;18;;0;J;189;;;;;;
KL;1866;AMS;E90;95;03.02.2016 06:00;1;03.02.2016 06:06;03.02.2016 05:56;15;;0;J;100;;;;;;
SK;668;CPH;CR9;29;03.02.2016 06:00;1;03.02.2016 06:03;03.02.2016 05:57;56;;0;J;88;;;;;;
XG;1760;ASR;73H;141;03.02.2016 06:05;0;03.02.2016 06:05;03.02.2016 06:09;18;31;1;J;189;03.02.2016 06:19;03.02.2016 06:33;10;25;15;
FX;8014;KTW;AT4;0;03.02.2016 06:15;1;03.02.2016 06:23;03.02.2016 06:18;203;;0;F;0;;;;;;
4U;2030;BRE;319;92;03.02.2016 06:20;1;03.02.2016 06:22;03.02.2016 06:13;19;;0;J;144;;;;;;
BCS;4298;LEJ;ABY;0;03.02.2016 06:20;1;03.02.2016 06:07;03.02.2016 06:11;105;;1;F;0;;;;;;
AB;6530;TXL;DH4;60;03.02.2016 06:20;1;03.02.2016 06:25;03.02.2016 06:20;62D;;0;J;76;;;;;;
SRN;92;WAW;SF3;0;03.02.2016 06:25;1;03.02.2016 06:40;03.02.2016 06:34;200;;0;P;0;;;;;;
AB;6650;HAM;320;48;03.02.2016 06:30;1;03.02.2016 06:31;03.02.2016 06:20;16;;0;J;180;;;;;;
4U;2012;SXF;319;85;03.02.2016 06:35;1;03.02.2016 06:30;03.02.2016 06:23;10;;0;J;144;;;;;;
AB;6833;DUS;DH4;53;03.02.2016 06:40;1;03.02.2016 06:45;03.02.2016 06:40;61D;;0;J;76;;;;;;
4U;2014;TXL;319;53;03.02.2016 06:40;1;03.02.2016 06:43;03.02.2016 06:32;12;;0;J;144;;;;;;
4U;2044;HAM;319;57;03.02.2016 06:40;1;03.02.2016 07:12;03.02.2016 07:02;33;;0;J;144;;;;;;
4U;2024;DRS;319;61;03.02.2016 06:40;1;03.02.2016 06:42;03.02.2016 06:40;50;;0;J;150;;;;;;
AF;1609;CDG;E90;71;03.02.2016 06:45;1;03.02.2016 06:54;03.02.2016 06:45;14;;0;J;100;;;;;;
4U;2052;HAJ;320;118;03.02.2016 06:45;1;03.02.2016 06:58;03.02.2016 06:49;52;;0;J;174;;;;;;
AB;7223;AUH BUD;32A;94;03.02.2016 06:50;0;03.02.2016 07:53;03.02.2016 07:56;15;32;1;J;146;03.02.2016 08:10;03.02.2016 08:22;14;26;12;
EW;4904;MXP;CR9;42;03.02.2016 06:50;1;03.02.2016 06:57;03.02.2016 06:49;64D;;0;J;90;;;;;;
4U;2074;LEJ;319;91;03.02.2016 06:55;1;03.02.2016 06:53;03.02.2016 06:47;53;;0;J;144;;;;;;
4U;2758;VIE;319;75;03.02.2016 06:55;1;03.02.2016 06:59;03.02.2016 06:49;40;;0;J;144;;;;;;
4U;2160;BRU;319;79;03.02.2016 06:55;1;03.02.2016 07:07;03.02.2016 07:00;41;;0;J;144;;;;;;
XG;1035;NUE;73H;0;03.02.2016 06:55;1;03.02.2016 07:27;03.02.2016 07:02;18;;0;P;0;;;;;;
FX;8011;FRA;AT7;0;03.02.2016 07:00;1;03.02.2016 06:50;03.02.2016 06:58;203;;1;P;0;;;;;;
LH;127;FRA;733;70;03.02.2016 07:00;1;;;CL;;0;J;139;;;;;;
AB;6610;HAJ;DH4;;03.02.2016 07:05;1;;;CL;;0;J;76;;;;;;
4U;2462;LHR;319;61;03.02.2016 07:10;0;03.02.2016 07:20;03.02.2016 07:07;60;;0;J;150;;;;;;
AB;6532;TXL;321;109;03.02.2016 07:20;1;03.02.2016 07:28;03.02.2016 07:16;31;;0;J;210;;;;;;
TJT;41;LYS;BEH;8;03.02.2016 07:35;1;03.02.2016 07:23;03.02.2016 07:27;50;20;1;J;19;03.02.2016 07:33;03.02.2016 07:33;6;6;0;
AB;6651;HAM;73W;137;03.02.2016 07:45;1;03.02.2016 07:32;03.02.2016 07:34;14;31;1;J;144;03.02.2016 07:42;03.02.2016 07:43;8;9;1;
LX;1164;ZRH;AR1;15;03.02.2016 07:50;1;03.02.2016 07:49;03.02.2016 07:55;41;30;1;J;97;03.02.2016 08:01;03.02.2016 08:02;6;6;0;
OS;180;VIE;319;93;03.02.2016 07:50;1;03.02.2016 07:57;03.02.2016 07:50;46;;0;J;138;;;;;;
4U;8000;TXL;319;129;03.02.2016 07:55;1;03.02.2016 07:43;03.02.2016 07:47;10;10;1;J;144;03.02.2016 07:53;03.02.2016 07:54;6;7;1;
4U;7046;HAM;320;136;03.02.2016 07:55;1;03.02.2016 07:47;03.02.2016 07:52;12;11;1;J;174;03.02.2016 07:58;03.02.2016 07:58;6;7;1;
OS;241;GRZ;DH4;46;03.02.2016 07:55;1;;;CL;;1;J;76;;;;;;
AB;6832;DUS;DH4;67;03.02.2016 07:55;1;03.02.2016 07:51;03.02.2016 07:55;62D;31;1;J;76;03.02.2016 08:06;03.02.2016 08:07;11;11;0;
TJT;42;LYS;BEH;5;03.02.2016 08:05;1;03.02.2016 08:02;03.02.2016 07:58;50;;0;J;19;;;;;;
LH;126;FRA;32A;39;03.02.2016 08:15;1;03.02.2016 08:07;03.02.2016 08:10;40;10;1;J;168;03.02.2016 08:26;03.02.2016 08:28;15;18;3;
LX;1165;ZRH;AR1;47;03.02.2016 08:20;1;03.02.2016 08:31;03.02.2016 08:24;41;;0;J;97;;;;;;
IS;501;FMO;J32;5;03.02.2016 08:20;1;03.02.2016 08:09;03.02.2016 08:11;46;11;1;J;19;03.02.2016 08:14;03.02.2016 08:14;4;4;0;
AB;6652;HAM;73W;140;03.02.2016 08:25;1;03.02.2016 08:39;03.02.2016 08:29;14;;0;J;144;;;;;;
AB;6835;DUS;DH4;39;03.02.2016 08:25;1;03.02.2016 08:35;03.02.2016 08:29;62D;;0;J;76;;;;;;
DE;1458;TFS;32B;212;03.02.2016 08:25;1;03.02.2016 08:37;03.02.2016 08:24;34;;0;J;220;;;;;;
OS;242;GRZ;DH4;26;03.02.2016 08:30;1;;;CL;;0;J;76;;;;;;
4U;7047;HAM;320;113;03.02.2016 08:30;1;03.02.2016 08:50;03.02.2016 08:39;12;;0;J;174;;;;;;
4U;8001;TXL;319;108;03.02.2016 08:30;1;03.02.2016 08:45;03.02.2016 08:33;10;;0;J;144;;;;;;
OS;177;VIE;321;44;03.02.2016 08:35;1;03.02.2016 08:24;03.02.2016 08:30;53;30;1;J;200;03.02.2016 08:35;03.02.2016 08:36;5;6;1;
JU;340;BEG;733;35;03.02.2016 08:35;0;03.02.2016 08:33;03.02.2016 08:39;16;32;1;J;144;03.02.2016 08:47;03.02.2016 08:49;8;10;2;
LH;131;FRA;32A;75;03.02.2016 08:50;1;03.02.2016 09:00;03.02.2016 08:51;40;;0;J;168;;;;;;
IS;502;FMO;J32;5;03.02.2016 08:50;1;03.02.2016 08:51;03.02.2016 08:45;46;;0;J;19;;;;;;
X3;1476;HAJ AJR;73H;11;03.02.2016 09:00;1;03.02.2016 09:01;03.02.2016 08:51;17;;0;J;189;;;;;;
LH;2144;MUC;E95;90;03.02.2016 09:00;1;03.02.2016 08:48;03.02.2016 08:51;10;11;1;J;120;03.02.2016 09:03;03.02.2016 09:07;12;16;4;
4U;2031;BRE;319;134;03.02.2016 09:05;1;03.02.2016 08:58;03.02.2016 09:01;42;10;1;J;144;03.02.2016 09:11;03.02.2016 09:12;10;11;1;
4U;2025;DRS;319;75;03.02.2016 09:15;1;03.02.2016 09:14;03.02.2016 09:17;44;11;1;J;150;03.02.2016 09:27;03.02.2016 09:28;10;12;2;
4U;2053;HAJ;320;137;03.02.2016 09:15;1;03.02.2016 09:11;03.02.2016 09:14;46;10;1;J;174;03.02.2016 09:23;03.02.2016 09:25;9;11;2;
4U;5202;AJR;320;18;03.02.2016 09:20;1;03.02.2016 09:36;03.02.2016 09:23;51;;0;C;174;;;;;;
JU;341;BEG;733;57;03.02.2016 09:20;0;03.02.2016 09:43;03.02.2016 09:18;16;;0;J;144;;;;;;
AB;6834;DUS;DH4;64;03.02.2016 09:30;1;03.02.2016 09:29;03.02.2016 09:32;62D;31;1;J;76;03.02.2016 09:45;03.02.2016 09:45;13;14;1;
4U;2075;LEJ;319;70;03.02.2016 09:30;1;03.02.2016 09:23;03.02.2016 09:27;43;10;1;J;144;03.02.2016 09:39;03.02.2016 09:40;12;13;1;
AB;6535;TXL;73W;115;03.02.2016 09:35;1;03.02.2016 09:25;03.02.2016 09:28;13;30;1;J;144;03.02.2016 09:36;03.02.2016 09:37;8;9;1;
SK;657;CPH;CR9;65;03.02.2016 09:35;1;03.02.2016 09:40;03.02.2016 09:44;17;30;1;J;88;03.02.2016 09:53;03.02.2016 09:54;9;9;0;
LH;2145;MUC;E95;113;03.02.2016 09:40;1;03.02.2016 09:50;03.02.2016 09:39;10;;0;J;120;;;;;;
4U;2161;BRU;319;50;03.02.2016 09:40;1;03.02.2016 09:34;03.02.2016 09:37;41;20;1;J;144;03.02.2016 09:50;03.02.2016 09:51;13;14;1;
AB;6653;HAM;320;161;03.02.2016 09:45;1;03.02.2016 09:36;03.02.2016 09:40;34;31;1;J;180;03.02.2016 09:52;03.02.2016 09:53;11;12;1;
4U;2013;SXF;319;101;03.02.2016 09:45;1;03.02.2016 09:27;03.02.2016 09:31;50;11;1;J;144;03.02.2016 09:40;03.02.2016 09:41;9;10;1;
4U;2045;HAM;319;95;03.02.2016 09:45;1;03.02.2016 09:41;03.02.2016 09:45;51;10;1;J;144;03.02.2016 09:55;03.02.2016 09:56;10;11;1;
4U;2976;ZAG;319;67;03.02.2016 09:45;0;03.02.2016 09:45;03.02.2016 09:39;42;;0;J;144;;;;;;
AB;7222;AUH;32A;137;03.02.2016 09:45;0;03.02.2016 10:12;03.02.2016 10:02;15;;0;J;146;;;;;;
4U;2015;TXL;319;74;03.02.2016 09:45;1;03.02.2016 09:31;03.02.2016 09:36;40;11;1;J;144;03.02.2016 09:44;03.02.2016 09:45;8;9;1;
AB;6611;HAJ;DH4;63;03.02.2016 09:55;1;03.02.2016 12:20;03.02.2016 12:22;63D;30;1;J;76;03.02.2016 12:33;03.02.2016 12:34;11;12;1;
AB;6837;DUS;DH4;36;03.02.2016 10:00;1;03.02.2016 10:08;03.02.2016 10:02;62D;;0;J;76;;;;;;
BE;7121;BHX;E75;24;03.02.2016 10:00;0;03.02.2016 09:38;03.02.2016 09:43;18;32;1;J;88;03.02.2016 09:52;03.02.2016 09:53;10;10;0;
SK;658;CPH;CR9;31;03.02.2016 10:05;1;03.02.2016 10:21;03.02.2016 10:13;17;;0;J;88;;;;;;
BA;918;LHR;319;78;03.02.2016 10:05;0;03.02.2016 09:53;03.02.2016 09:58;16;32;1;J;143;03.02.2016 10:18;03.02.2016 10:21;20;23;3;Verzögerung bei der Ausladung
AF;1408;CDG;E70;73;03.02.2016 10:05;1;03.02.2016 09:55;03.02.2016 10:01;14*;20;1;J;76;03.02.2016 10:10;03.02.2016 10:11;9;11;2;
EW;4905;MXP;CR9;52;03.02.2016 10:10;1;03.02.2016 10:06;03.02.2016 10:09;64D;11;1;J;90;03.02.2016 10:21;03.02.2016 10:22;12;12;0;
4U;2780;BUD;319;69;03.02.2016 10:10;1;03.02.2016 10:40;03.02.2016 10:32;43;;0;J;144;;;;;;
4U;2759;VIE;319;92;03.02.2016 10:15;1;03.02.2016 10:02;03.02.2016 10:05;42;10;1;J;144;03.02.2016 10:14;03.02.2016 10:16;8;10;2;
4U;5712;PRN;319;138;03.02.2016 10:20;0;03.02.2016 10:26;03.02.2016 10:18;44;;0;J;150;;;;;;
LX;1176;ZRH;AR1;35;03.02.2016 10:20;1;03.02.2016 10:04;03.02.2016 10:08;52;31;1;J;97;03.02.2016 10:18;03.02.2016 10:19;10;11;1;
TK;1701;IST;321;93;03.02.2016 10:25;0;03.02.2016 10:35;03.02.2016 10:42;9;10;1;J;180;03.02.2016 10:55;03.02.2016 11:07;13;25;12;
0B;129;OTP;734;147;03.02.2016 10:30;0;03.02.2016 11:00;03.02.2016 11:06;43;40;1;J;168;03.02.2016 11:58;03.02.2016 11:58;52;52;0;
EZY;6915;EDI;319;43;03.02.2016 10:30;0;03.02.2016 09:57;03.02.2016 10:01;19;32;1;J;156;03.02.2016 10:08;03.02.2016 10:09;6;8;2;
LH;128;FRA;320;84;03.02.2016 10:30;1;03.02.2016 10:24;03.02.2016 10:28;10;11;1;J;168;03.02.2016 10:57;03.02.2016 11:07;29;39;10;
OS;178;VIE;321;40;03.02.2016 10:35;1;03.02.2016 10:45;03.02.2016 10:35;53;;0;J;200;;;;;;
BE;7122;BHX;E75;49;03.02.2016 10:40;0;03.02.2016 10:42;03.02.2016 10:28;18;;0;J;88;;;;;;
BA;917;LHR;319;57;03.02.2016 10:45;0;03.02.2016 10:49;03.02.2016 10:39;16;;0;J;143;;;;;;
AF;1409;CDG;E70;70;03.02.2016 10:50;1;03.02.2016 11:08;03.02.2016 10:53;14;;0;J;76;;;;;;
