AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
X3;2810;FNC;73H;128;02.02.2016 06:00;1;02.02.2016 06:05;02.02.2016 05:51;31;;0;J;189;;;;;;
SK;668;CPH;CR9;23;02.02.2016 06:00;1;02.02.2016 06:10;02.02.2016 05:58;56;;0;J;88;;;;;;
KL;1866;AMS;E90;66;02.02.2016 06:00;1;02.02.2016 06:08;02.02.2016 05:50;15;;0;J;100;;;;;;
FX;8014;KTW;AT4;0;02.02.2016 06:15;1;02.02.2016 06:25;02.02.2016 06:17;203;;0;F;0;;;;;;
BCS;4298;LEJ;ABY;0;02.02.2016 06:20;1;02.02.2016 06:07;02.02.2016 06:12;105;;1;F;0;;;;;;
4U;2030;BRE;319;96;02.02.2016 06:20;1;02.02.2016 06:22;02.02.2016 06:16;44;;0;J;144;;;;;;
AB;6530;TXL;DH4;77;02.02.2016 06:20;1;02.02.2016 06:42;02.02.2016 06:37;61D;;0;J;76;;;;;;
FHY;533;AYT;320;105;02.02.2016 06:25;0;02.02.2016 06:24;02.02.2016 06:30;17;31;1;C;180;02.02.2016 06:44;02.02.2016 06:51;14;21;7;Verzögerung beim Gepäcktransport
AB;6650;HAM;321;94;02.02.2016 06:30;1;02.02.2016 06:37;02.02.2016 06:25;35;;0;J;210;;;;;;
4U;2012;SXF;319;39;02.02.2016 06:35;1;02.02.2016 06:38;02.02.2016 06:31;43;;0;J;144;;;;;;
4U;2044;HAM;320;71;02.02.2016 06:40;1;02.02.2016 07:11;02.02.2016 07:00;12;;0;J;174;;;;;;
AB;6833;DUS;DH4;52;02.02.2016 06:40;1;02.02.2016 06:48;02.02.2016 06:41;62D;;0;J;76;;;;;;
4U;2014;TXL;319;56;02.02.2016 06:40;1;02.02.2016 06:45;02.02.2016 06:36;10;;0;J;144;;;;;;
4U;2024;DRS;319;53;02.02.2016 06:40;1;02.02.2016 06:40;02.02.2016 06:34;42;;0;J;144;;;;;;
4U;2052;HAJ;319;74;02.02.2016 06:45;1;02.02.2016 06:53;02.02.2016 06:44;40;;0;J;150;;;;;;
AF;1609;CDG;E90;61;02.02.2016 06:45;1;02.02.2016 06:51;02.02.2016 06:39;14;;0;J;100;;;;;;
AB;7223;AUH;32A;78;02.02.2016 06:50;0;02.02.2016 07:07;02.02.2016 07:11;15;32;1;J;146;02.02.2016 07:24;02.02.2016 07:29;14;19;5;
EW;4904;MXP;CR9;32;02.02.2016 06:50;1;02.02.2016 06:57;02.02.2016 06:49;64D;;0;J;90;;;;;;
4U;2758;VIE;319;60;02.02.2016 06:55;1;02.02.2016 07:00;02.02.2016 06:49;19;;0;J;144;;;;;;
4U;2160;BRU;319;63;02.02.2016 06:55;1;02.02.2016 07:02;02.02.2016 06:54;45;;0;J;144;;;;;;
